Matrix,Radius_km,Horizon_h,Training,Frost_ROC_AUC,Frost_PR_AUC,Frost_Recall,Frost_Precision,Frost_F2,Frost_Brier_Score,Frost_ECE,Temp_MAE,Temp_RMSE,Temp_R2
C,60,3,Balanced,0.9970,0.7183,0.9333,0.3421,,0.0078,0.0095,1.1905,1.5797,0.9681
C,60,3,Unbalanced,0.9972,0.7242,0.6736,0.6632,,0.0027,0.0013,1.1905,1.5797,0.9681
C,80,3,Balanced,0.9969,0.7148,0.9614,0.2768,,0.0109,0.0140,1.2362,1.6402,0.9656
C,80,3,Unbalanced,0.9971,0.7211,0.6747,0.6609,,0.0027,0.0013,1.1847,1.5816,0.9680
C,100,6,Balanced,0.9940,0.5825,0.9317,0.2018,,0.0159,0.0209,1.6511,2.1575,0.9405
C,100,6,Unbalanced,0.9936,0.5838,0.5892,0.5412,,0.0036,0.0021,1.6034,2.0987,0.9437
C,120,6,Balanced,0.9924,0.5652,0.9338,0.1859,,0.0175,0.0231,1.6204,2.1187,0.9427
C,120,6,Unbalanced,0.9937,0.5784,0.6084,0.5212,,0.0039,0.0026,1.5769,2.0628,0.9456
C,140,6,Balanced,0.9934,0.5678,0.9484,0.1798,,0.0184,0.0244,1.6087,2.0994,0.9437
C,140,6,Unbalanced,0.9937,0.5763,0.6220,0.5044,,0.0039,0.0028,1.5697,2.0532,0.9461
C,160,6,Balanced,0.9938,0.5753,0.9453,0.1833,,0.0180,0.0235,1.6014,2.0863,0.9444
C,160,6,Unbalanced,0.9943,0.5871,0.6423,0.5053,,0.0039,0.0027,1.5697,2.0474,0.9464
C,180,6,Balanced,0.9942,0.5598,0.9458,0.1909,,0.0172,0.0226,1.5936,2.0811,0.9447
C,180,6,Unbalanced,0.9937,0.5704,0.6017,0.4996,,0.0039,0.0026,1.5591,2.0396,0.9469
C,20,6,Balanced,0.9934,0.5432,0.9593,0.1555,,0.0224,0.0299,1.7728,2.3040,0.9322
C,20,6,Unbalanced,0.9931,0.5460,0.5824,0.4962,,0.0040,0.0026,1.7202,2.2362,0.9361
C,200,6,Balanced,0.9937,0.5747,0.9390,0.1909,,0.0171,0.0224,1.5834,2.0690,0.9453
C,200,6,Unbalanced,0.9938,0.5736,0.6215,0.5174,,0.0038,0.0026,1.5507,2.0299,0.9474
C,40,6,Balanced,0.9939,0.5566,0.9635,0.1674,,0.0205,0.0271,1.7419,2.2725,0.9340
C,40,6,Unbalanced,0.9936,0.5400,0.6168,0.4559,,0.0042,0.0031,1.6854,2.2015,0.9381
C,60,6,Balanced,0.9934,0.5491,0.9015,0.2223,,0.0138,0.0170,1.6675,2.1720,0.9397
C,60,6,Unbalanced,0.9941,0.5715,0.5855,0.4956,,0.0039,0.0023,1.6675,2.1720,0.9397
C,80,6,Balanced,0.9927,0.5721,0.9442,0.1904,,0.0174,0.0230,1.7136,2.2332,0.9363
C,80,6,Unbalanced,0.9941,0.5934,0.6189,0.5309,,0.0036,0.0022,1.6637,2.1719,0.9397
