model,matrix_cell,horizon_h,radius_km,roc_auc,pr_auc,brier_score,f1_score,precision,recall,temp_rmse,temp_mae,temp_r2,path
gru,A,6,0.0,0.9935011210693152,0.5962127097952612,0.0032993015415733037,0.3494058725326525,0.21524500907441016,0.9275286757038582,2.317004531102628,1.6634260260249432,0.9314190476176764,experiments/gru/raw/A/A/full_training/horizon_12h/full_training/horizon_6h
gru,A,6,0.0,0.9933358497443813,0.5741184835029679,0.003457667278590777,0.3255348202093764,0.19719863240322047,0.9322210636079249,2.3294789788820514,1.643372030747392,0.9306785980648133,experiments/gru/raw/A/A/full_training/horizon_24h/full_training/horizon_6h
gru,A,6,0.0,0.9928027081281371,0.5799164766009408,0.0034122474267784886,0.3322525271790959,0.20331465919701214,0.908237747653806,2.3003358867386567,1.635166753687172,0.9324022477332423,experiments/gru/raw/A/A/full_training/horizon_3h/full_training/horizon_6h
gru,A,6,0.0,0.9925754789711407,0.5732057087104947,0.003463299947476465,0.35875270145106514,0.22349019105013462,0.9087591240875912,2.4532393109860013,1.6794879107501997,0.9231171319076602,experiments/gru/raw/A/A/full_training/horizon_6h/full_training/horizon_6h
lightgbm,A,6,0.0,0.9923456404961197,0.539705980787576,0.004067916022328121,0.5234186383389667,0.48741007194244607,0.5651720542231491,2.248748447120429,1.7309767643908123,0.9354001516350358,experiments/lightgbm/raw/A/full_training/horizon_6h
lstm,A,6,0.0,0.9590425189073325,0.2585492551658624,0.004545991263172259,0.3261939603565252,0.21896767279871407,0.6392075078206465,3.7176858456344277,2.8136374136201128,0.823438861097398,experiments/lstm/raw/A/A/full_training/horizon_12h/full_training/horizon_6h
lstm,A,6,0.0,0.9652408767391234,0.23281838163372942,0.004721830290025685,0.3214153160955091,0.21070559610705597,0.6772679874869656,3.668568460643,2.7650168471767183,0.8280734288852657,experiments/lstm/raw/A/A/full_training/horizon_24h/full_training/horizon_6h
lstm,A,6,0.0,0.963071398942567,0.2612074336125359,0.0045662787266310245,0.31337099811676083,0.2063833305771457,0.6506777893639207,3.6404477986639407,2.7573373805400316,0.8306990630435922,experiments/lstm/raw/A/A/full_training/horizon_3h/full_training/horizon_6h
lstm,A,6,0.0,0.9600212552758048,0.22637320106334716,0.004831243756112015,0.313977929584866,0.20987003863716192,0.6230448383733055,3.7725806278824408,2.8356945470870203,0.8181862157249437,experiments/lstm/raw/A/A/full_training/horizon_6h/full_training/horizon_6h
random_forest,A,6,0.0,0.9594403360327867,0.19101089743604985,0.00476100565111561,0.010178117048346057,0.6666666666666666,0.005128205128205128,4.8095438823880885,3.837217631402485,0.704756378185096,experiments/random_forest/raw/A/full_training/horizon_6h
