station_id,horizon,frost_accuracy,frost_precision,frost_recall,frost_f1,frost_roc_auc,frost_pr_auc,frost_brier_score,frost_tn,frost_fp,frost_fn,frost_tp,frost_ece,temp_mae,temp_rmse,temp_r2,temp_mape
15,24h,0.9911023909472532,0.7027348394768134,0.39113170086035737,0.5025510204081632,0.9896751310229834,0.6020687622815192,0.006681078820745442,129735,250,920,591,0.0022282885224258506,2.0969063328241435,2.6698642312830154,0.9199263948152376,36.44593383067292
39,3h,0.9965251640472335,0.8021201413427562,0.702061855670103,0.7487630566245189,0.998331129942615,0.8485483470229374,0.0025207547574877293,130379,168,289,681,0.0014682403450323827,1.5306106102978876,1.8989305242734955,0.956731143553005,24.00687513494898
39,6h,0.9952856730081968,0.8326996197718631,0.4515463917525773,0.5855614973262032,0.996757565170585,0.7649356145391827,0.003266159783110981,130456,88,532,438,0.001803771374439433,2.1162592275772254,2.6058864757525213,0.9185186198351278,33.84013501993015
39,12h,0.9932019344830733,0.7435897435897436,0.11958762886597939,0.20603907637655416,0.9905755807093655,0.4984472133116396,0.005062959932190289,130498,40,854,116,0.002336397270095833,2.4582644812869363,3.0411287882780482,0.8890271301515897,45.815885150308524
39,24h,0.9939161647502586,0.8057553956834532,0.2309278350515464,0.358974358974359,0.9914628021339824,0.5648734308983367,0.004644070411852206,130472,54,746,224,0.0021458469578020892,2.0016491461800574,2.5596815636665338,0.9213771413618482,36.160986329294104
47,3h,0.9981599336967845,0.803680981595092,0.7291280148423006,0.7645914396887159,0.9904367870869335,0.8202763382633895,0.0014652091412361396,130882,96,146,393,0.0014755476274881218,1.5364915369760264,2.036421906511237,0.9344679114049094,17.38228399508568
47,6h,0.9971333850388552,0.6708860759493671,0.5899814471243042,0.6278381046396841,0.9841083694752606,0.6856020837249557,0.0021395583690694093,130819,156,221,318,0.0022361187944209726,2.1797638246285986,2.8419679783092007,0.8723716181443728,23.215499973383757
47,12h,0.9960686802323813,0.5243362831858407,0.4397031539888683,0.4783047426841574,0.981516041177924,0.4711057228185104,0.0033299979980371433,130754,215,302,237,0.005452253199153675,2.4807721294031735,3.214641133693381,0.8366967879203551,28.41897960753207
47,24h,0.9962508365273468,0.5621621621621622,0.38589981447124305,0.45764576457645767,0.9746062463562972,0.4632356401155567,0.0030558110637337434,130795,162,331,208,0.003846658171145979,2.0680364753281872,2.711974857560322,0.8837463680150693,24.990736725698003
70,3h,0.9946774941642526,0.8242784380305602,0.6632513661202186,0.7350492051476154,0.9961107858969142,0.8231575668107981,0.003998629656595142,129846,207,493,971,0.0014518324062634327,1.4643358526263766,1.8904781338319563,0.9466536842571999,25.13686604963657
70,6h,0.9926243593837918,0.7744444444444445,0.4760928961748634,0.5896785109983079,0.9919528848719388,0.7195718408608759,0.005440574937511982,129847,203,767,697,0.001956741032324397,2.10247270227331,2.65859162849439,0.8944994941991127,34.72615824445468
70,12h,0.9898941509261794,0.6610978520286396,0.18920765027322403,0.2942113648433351,0.9886681139910106,0.531657795270036,0.007312241883760521,129902,142,1187,277,0.0024274252656655356,2.3521862940276943,2.984287008340015,0.867064658203073,43.08610812371801
70,24h,0.9904711930400925,0.7494089834515366,0.21653005464480873,0.3359830418653948,0.9891202432473958,0.571005683191139,0.006992455175070722,129926,106,1147,317,0.0024266427178600215,2.012931694427029,2.577969103173166,0.9007833601091453,36.45646613351061
71,3h,0.9934229035029692,0.8291284403669725,0.7183308494783904,0.7697631088634549,0.9961545838662236,0.863132038262894,0.004800588186634145,129206,298,567,1446,0.001408249964268208,1.6045516265695559,2.115579983491548,0.9346810871795191,29.162470829160835
71,6h,0.9905713460163937,0.7712280701754386,0.5459513164431197,0.639325189063409,0.9905231596049603,0.7491611373013936,0.006938728413795706,129175,326,914,1099,0.0022466024300061495,2.3134109003183605,2.9350087481134826,0.8742844471887937,41.280635033388286
71,12h,0.9859552270584299,0.6406779661016949,0.18777943368107303,0.2904341144832885,0.9819221471493633,0.5201790555275515,0.010354208934068142,129283,212,1635,378,0.004838154176041305,2.560843628499336,3.270041261014231,0.8439417845205671,51.84352080375869
71,24h,0.9877638863539575,0.6866913123844732,0.3691008445106806,0.4801292407108239,0.9845849794197972,0.6044917192381158,0.009059951121188625,129144,339,1270,743,0.002252962731843329,2.066435032874658,2.7593263943769712,0.8888673532144766,42.457997876416826
80,3h,0.9962058136970886,0.8732747804265998,0.6361974405850092,0.736118455843469,0.9988235264186994,0.8818765551756024,0.002576693288630607,130322,101,398,696,0.0023860446457149545,1.5220388519648023,1.934709544288395,0.9549792025186554,23.926791413857455
80,6h,0.9946621652447648,0.8656716417910447,0.42413162705667273,0.5693251533742332,0.9970804456253977,0.7884424781122116,0.0036680507255461574,130348,72,630,464,0.0027374418479084337,2.115554948708266,2.660882107322059,0.9148424498045402,33.356313795940565
80,12h,0.992631626973264,0.7828054298642534,0.15813528336380256,0.2631178707224335,0.9878527084986474,0.5387127871709122,0.005512131802471329,130366,48,921,173,0.0017037439523661863,2.5128829342769277,3.1435870446460754,0.8811416493217455,43.29156776424925
80,24h,0.9932697572549736,0.8542372881355932,0.2303473491773309,0.36285097192224625,0.9910284634658226,0.6150726249797641,0.005097734615155924,130359,43,842,252,0.002589053922264839,2.0412884803138622,2.604156011829317,0.9184248420508053,34.68333530565814
105,3h,0.9933012462267236,0.861318407960199,0.6779246206558982,0.7586962476033964,0.9965995096648105,0.8691594596678688,0.004984893922654726,129251,223,658,1385,0.0017246672548660684,1.7493961533856124,2.237074245794103,0.9467645648147229,29.46267070102576
105,6h,0.9913393250908649,0.8487654320987654,0.5384238864415076,0.6588799041629231,0.9942903906654639,0.7956425622877918,0.006678628616365765,129275,196,943,1100,0.00365777005305856,2.3838836778174533,3.013184087128846,0.9034212602610582,40.254088929721775
105,12h,0.9867308452717706,0.8616504854368932,0.17376407244248654,0.2892057026476578,0.9896595895163196,0.6572271622459328,0.009882719447370457,129408,57,1688,355,0.007076923194260029,2.806723927813069,3.501889715947805,0.8695502514621125,53.07028346250835
105,24h,0.9875053233558435,0.6739130434782609,0.37934410181106215,0.4854368932038835,0.9870352408198965,0.5887765294150163,0.009112522856845627,129078,375,1268,775,0.0023283149772386066,2.207948768159345,2.81778081809812,0.9155270741761324,40.81262357889124
124,3h,0.996494749728172,0.8229508196721311,0.7157794676806084,0.7656329435688867,0.998328030083677,0.8588307187521261,0.0025562782004184314,130303,162,299,753,0.0013901922317566444,1.6220021063831542,2.0955478837258728,0.9419378134354184,22.31776738492348
124,6h,0.9955822193834877,0.7800237812128419,0.623574144486692,0.6930797675647121,0.9974117282989561,0.8011932481357896,0.003148121939607037,130277,185,396,656,0.001958357725474557,2.286972420736472,2.933992492691233,0.8861831896891881,31.635615536503437
124,12h,0.9936657845910515,0.7517241379310344,0.3108365019011407,0.4398117014122394,0.9933897704477841,0.6185800309776326,0.0046005902324176996,130348,108,725,327,0.002596386401722161,2.6327425282236456,3.370628641138569,0.8497831147837767,39.57846743760456
124,24h,0.9934902962827766,0.6821561338289963,0.3488593155893536,0.46163522012578617,0.9920219905854155,0.5831088533199543,0.004875428019763345,130273,171,685,367,0.0018791414421498274,2.046880835754277,2.6158681807121464,0.9095129224074877,31.773202566305354
125,3h,0.9966620284830098,0.7456140350877193,0.6580645161290323,0.6991089787525703,0.9982352685737633,0.7988810886834715,0.002340241188102929,130568,174,265,510,0.0014711325397463065,1.7111915316697015,2.182294117121739,0.943686611380652,20.346352027509703
125,6h,0.9962133309001323,0.7312186978297162,0.5651612903225807,0.6375545851528385,0.997290869348411,0.719890772058603,0.002779921212435712,130578,161,337,438,0.0012890095129181537,2.2537290717340985,2.866163626593634,0.9028646801430736,27.114029290792462
125,12h,0.9949280652127627,0.7872340425531915,0.19096774193548388,0.3073727933541018,0.9944714751045161,0.5594059107252832,0.003697928837217605,130693,40,627,148,0.0024703840586496446,2.672183864618268,3.39688224497331,0.8635600356721653,34.727829091484494
125,24h,0.9950873030358338,0.6675324675324675,0.33161290322580644,0.44310344827586207,0.9875770731607405,0.4869346089629358,0.003997286773979267,130593,128,518,257,0.0008178795029575201,2.2567981790283143,2.900659194341878,0.9005035274104283,30.88954290425011
131,3h,0.9981447265372537,0.77,0.6695652173913044,0.7162790697674418,0.9989883177283299,0.80395227119625,0.001359197607230266,130965,92,152,308,0.001380748912894322,1.4899446983677598,1.926172614731939,0.9459187369190668,16.627624266011683
131,6h,0.9972398375838314,0.6080178173719376,0.5934782608695652,0.6006600660066007,0.9974813568386347,0.6426704421346648,0.00201122100545279,130878,176,187,273,0.002427361192047026,2.0735390923218926,2.6299958647810486,0.8991775884633522,22.234797687696886
131,12h,0.9957721203272805,0.38990825688073394,0.3695652173913043,0.3794642857142857,0.9935906159840537,0.38108454605044656,0.0033302608874024972,130782,266,290,170,0.006352970024878023,2.413533766399487,3.0734785840598065,0.862302750195143,27.291526127889316
131,24h,0.9963877228204661,0.4669603524229075,0.23043478260869565,0.30858806404657935,0.9871485283831724,0.33442622957082796,0.002932701445219734,130915,121,354,106,0.0023090911676165254,2.102220038984034,2.7156357624606606,0.8924767067536996,26.31431576813567
